City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
0,Souillac,MU,-20.5167,57.5167,78.8,94,75,13.8,light rain,2021-01-11 04:37:33
1,Tasiilaq,GL,65.6145,-37.6368,19.4,63,90,3.44,overcast clouds,2021-01-11 04:37:42
2,Mar Del Plata,AR,-38.0023,-57.5575,64.4,94,90,6.91,heavy intensity rain,2021-01-11 04:37:46
3,East London,ZA,-33.0153,27.9116,66.2,94,90,2.3,light rain,2021-01-11 04:35:31
4,Fortuna,US,40.5982,-124.1573,50.0,100,1,3.65,clear sky,2021-01-11 04:38:49
5,Klaksvik,FO,62.2266,-6.589,30.2,80,75,14.97,light snow,2021-01-11 04:38:19
6,Ushuaia,AR,-54.8,-68.3,41.0,75,75,20.71,broken clouds,2021-01-11 04:32:42
7,Yellowknife,CA,62.456,-114.3525,8.6,92,90,5.75,overcast clouds,2021-01-11 04:37:29
8,Rikitea,PF,-23.1203,-134.9692,78.24,79,35,18.03,scattered clouds,2021-01-11 04:35:20
9,Albany,US,42.6001,-73.9662,23.0,92,94,2.17,overcast clouds,2021-01-11 04:33:19
10,Mapiripan,CO,2.8892,-72.1256,72.68,95,98,3.36,moderate rain,2021-01-11 04:38:51
11,Saskylakh,RU,71.9167,114.0833,-8.61,87,100,15.41,overcast clouds,2021-01-11 04:37:51
12,Juli,PE,-16.2167,-69.45,41.83,83,98,2.46,light rain,2021-01-11 04:38:51
13,Touros,BR,-5.1989,-35.4608,78.8,78,40,4.61,scattered clouds,2021-01-11 04:38:52
14,Cherskiy,RU,68.75,161.3,-35.68,83,2,1.1,clear sky,2021-01-11 04:37:40
15,Tuktoyaktuk,CA,69.4541,-133.0374,8.6,92,75,10.36,light snow,2021-01-11 04:38:03
16,Punta Arenas,CL,-53.15,-70.9167,39.2,81,0,9.22,clear sky,2021-01-11 04:33:11
17,Nikolskoye,RU,59.7035,30.7861,6.01,85,0,6.71,clear sky,2021-01-11 04:37:15
18,Ahipara,NZ,-35.1667,173.1667,68.97,62,1,10.58,clear sky,2021-01-11 04:37:29
19,Ribeira Grande,PT,38.5167,-28.7,62.62,90,91,7.63,light rain,2021-01-11 04:37:12
20,Khipro,PK,25.8285,69.3772,67.41,24,0,6.93,clear sky,2021-01-11 04:38:53
21,Clarence Town,AU,-32.5833,151.7833,84.99,54,20,16.11,few clouds,2021-01-11 04:38:53
22,Cidreira,BR,-30.1811,-50.2056,76.5,83,14,22.7,few clouds,2021-01-11 04:37:43
23,Camacha,PT,33.0833,-16.3333,53.6,76,40,14.97,light rain,2021-01-11 04:38:15
24,Cape Town,ZA,-33.9258,18.4232,64.4,72,0,10.36,clear sky,2021-01-11 04:35:29
25,Lebu,CL,-37.6167,-73.65,54.46,85,97,7.94,light rain,2021-01-11 04:37:51
26,Bengkulu,ID,-3.8004,102.2655,85.14,64,100,6.64,light rain,2021-01-11 04:37:25
27,Avarua,CK,-21.2078,-159.775,82.4,78,20,10.36,few clouds,2021-01-11 04:37:13
28,Jamestown,US,42.097,-79.2353,24.8,93,1,3.44,clear sky,2021-01-11 04:37:16
29,Mataura,NZ,-46.1927,168.8643,57.99,69,62,8.99,broken clouds,2021-01-11 04:37:08
30,Hualmay,PE,-11.0964,-77.6139,68.97,86,98,9.46,overcast clouds,2021-01-11 04:37:51
31,Bethanien,NA,-26.502,17.1583,71.94,59,67,10.45,broken clouds,2021-01-11 04:38:55
32,Domoni,KM,-12.2569,44.5319,81.52,79,98,9.53,overcast clouds,2021-01-11 04:38:55
33,Rovnoye,RU,50.7765,46.0509,18.37,95,58,9.98,broken clouds,2021-01-11 04:38:55
34,Kanniyakumari,IN,8.0833,77.5667,80.51,75,96,18.3,heavy intensity rain,2021-01-11 04:38:56
35,Port Alfred,ZA,-33.5906,26.891,66.99,86,92,1.01,overcast clouds,2021-01-11 04:37:27
36,Agen,FR,44.2,0.6333,28.0,93,0,3.44,clear sky,2021-01-11 04:38:56
37,Nome,US,64.5011,-165.4064,15.8,67,75,18.41,broken clouds,2021-01-11 04:38:56
38,Byron Bay,AU,-28.65,153.6167,77.0,73,40,16.11,scattered clouds,2021-01-11 04:38:57
39,Churapcha,RU,62.0025,132.4325,-40.5,80,90,2.01,overcast clouds,2021-01-11 04:38:57
40,Basco,PH,20.4487,121.9702,70.56,74,37,18.45,scattered clouds,2021-01-11 04:38:57
41,Lompoc,US,34.6391,-120.4579,53.01,87,1,7.72,clear sky,2021-01-11 04:38:57
42,La Ronge,CA,55.1001,-105.2842,19.4,79,80,5.75,broken clouds,2021-01-11 04:37:36
43,Busselton,AU,-33.65,115.3333,78.33,31,1,6.08,clear sky,2021-01-11 04:35:20
44,Bereda,ES,43.2686,-7.5406,36.0,86,100,7.0,overcast clouds,2021-01-11 04:38:58
45,Chuy,UY,-33.6971,-53.4616,72.81,89,13,10.76,light rain,2021-01-11 04:38:58
46,Port Elizabeth,ZA,-33.918,25.5701,68.0,77,20,9.22,few clouds,2021-01-11 04:35:29
47,Saint-Philippe,RE,-21.3585,55.7679,78.8,94,90,13.8,light rain,2021-01-11 04:37:26
48,Georgetown,MY,5.4112,100.3354,86.0,58,20,8.05,few clouds,2021-01-11 04:37:33
49,Olden,NO,61.8364,6.8064,30.0,93,100,9.26,overcast clouds,2021-01-11 04:39:00
50,Hobyo,SO,5.3505,48.5268,76.26,66,85,22.28,overcast clouds,2021-01-11 04:39:00
51,Bluff,NZ,-46.6,168.3333,57.99,69,72,8.99,broken clouds,2021-01-11 04:37:33
52,Mirnyy,RU,62.5353,113.9611,-32.58,83,94,2.1,overcast clouds,2021-01-11 04:39:00
53,Kapaa,US,22.0752,-159.319,75.2,78,40,10.36,light rain,2021-01-11 04:37:42
54,Verkhnyaya Toyma,RU,62.2349,44.9985,-8.64,88,0,5.55,clear sky,2021-01-11 04:39:01
55,Airai,TL,-8.9266,125.4092,73.02,93,27,1.48,light rain,2021-01-11 04:37:12
56,Hermanus,ZA,-34.4187,19.2345,66.0,81,28,7.0,scattered clouds,2021-01-11 04:37:26
57,Acaponeta,MX,22.4964,-105.3594,62.33,72,0,2.62,clear sky,2021-01-11 04:39:01
58,Palmer,US,42.1584,-72.3287,24.01,86,40,3.44,scattered clouds,2021-01-11 04:39:01
59,Hilo,US,19.7297,-155.09,75.2,73,90,4.61,overcast clouds,2021-01-11 04:35:30
60,Leesburg,US,39.1157,-77.5636,30.99,86,1,4.61,clear sky,2021-01-11 04:36:01
61,Salta,AR,-24.7859,-65.4117,71.6,83,40,2.3,scattered clouds,2021-01-11 04:38:07
62,Mubi,NG,10.2676,13.2644,66.45,25,79,5.26,broken clouds,2021-01-11 04:34:15
63,Bonavista,CA,48.6499,-53.1147,32.0,100,100,9.22,light snow,2021-01-11 04:39:02
64,Alofi,NU,-19.0595,-169.9187,84.2,70,40,10.36,scattered clouds,2021-01-11 04:37:39
65,Hithadhoo,MV,-0.6,73.0833,81.41,76,100,14.7,overcast clouds,2021-01-11 04:38:01
66,Along,IN,28.1667,94.7667,61.95,69,96,0.83,overcast clouds,2021-01-11 04:38:08
67,Atuona,PF,-9.8,-139.0333,77.77,80,66,13.82,broken clouds,2021-01-11 04:37:22
68,Saldanha,ZA,-33.0117,17.9442,57.2,82,0,8.05,clear sky,2021-01-11 04:37:20
69,Mount Gambier,AU,-37.8333,140.7667,96.8,12,100,23.02,overcast clouds,2021-01-11 04:37:22
70,Pevek,RU,69.7008,170.3133,-27.85,87,100,2.42,overcast clouds,2021-01-11 04:37:49
71,Qostanay,KZ,53.1667,63.5833,8.6,92,90,11.18,light snow,2021-01-11 04:39:04
72,Kavieng,PG,-2.5744,150.7967,84.24,69,92,3.51,moderate rain,2021-01-11 04:37:48
73,Tanabe,JP,33.7333,135.3667,42.8,52,40,9.22,scattered clouds,2021-01-11 04:39:04
74,Hamilton,US,39.1834,-84.5333,30.2,74,1,1.48,clear sky,2021-01-11 04:33:50
75,Nanortalik,GL,60.1432,-45.2371,31.8,94,100,3.31,overcast clouds,2021-01-11 04:37:31
76,Beloha,MG,-25.1667,45.05,82.74,61,0,9.51,clear sky,2021-01-11 04:39:05
77,Zaraza,VE,9.3503,-65.3245,72.07,91,43,3.13,scattered clouds,2021-01-11 04:39:05
78,Broome,US,42.2506,-75.833,24.8,86,90,3.44,mist,2021-01-11 04:38:18
79,Ilulissat,GL,69.2167,-51.1,21.2,79,75,2.3,broken clouds,2021-01-11 04:37:09
80,Codrington,AU,-38.2667,141.9667,93.78,21,100,16.62,overcast clouds,2021-01-11 04:37:14
81,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,71.89,97,58,1.3,broken clouds,2021-01-11 04:39:06
82,Puerto Ayora,EC,-0.7393,-90.3518,73.0,93,6,4.65,clear sky,2021-01-11 04:37:16
83,Bogorodskoye,RU,56.55,37.8833,-0.47,94,91,3.53,overcast clouds,2021-01-11 04:39:06
84,Nioro,GM,13.35,-15.75,67.1,33,0,9.55,clear sky,2021-01-11 04:39:07
85,Bredasdorp,ZA,-34.5322,20.0403,59.0,88,84,4.61,light rain,2021-01-11 04:37:17
86,Barrow,US,71.2906,-156.7887,3.2,85,90,13.8,haze,2021-01-11 04:29:14
87,Puerto Baquerizo Moreno,EC,-0.9,-89.6,73.26,84,15,9.66,few clouds,2021-01-11 04:39:07
88,San Patricio,US,28.017,-97.5169,41.0,87,75,16.11,broken clouds,2021-01-11 04:37:34
89,Mamallapuram,IN,12.6264,80.1722,82.4,83,75,8.05,mist,2021-01-11 04:39:08
90,Hobart,AU,-42.8794,147.3294,98.01,17,0,12.66,light rain,2021-01-11 04:37:09
91,Balkanabat,TM,39.5108,54.3671,45.86,47,0,5.28,clear sky,2021-01-11 04:39:08
92,Bambous Virieux,MU,-20.3428,57.7575,84.0,94,75,13.8,light rain,2021-01-11 04:37:44
93,Chokurdakh,RU,70.6333,147.9167,-33.88,84,0,7.56,clear sky,2021-01-11 04:37:28
94,Butaritari,KI,3.0707,172.7902,81.52,81,100,19.15,light rain,2021-01-11 04:37:45
95,Lapeer,US,43.0514,-83.3188,24.01,100,90,4.25,overcast clouds,2021-01-11 04:39:09
96,Castro,BR,-24.7911,-50.0119,65.28,96,87,7.14,overcast clouds,2021-01-11 04:37:30
97,Campos Novos,BR,-27.4017,-51.225,63.03,98,52,6.42,light rain,2021-01-11 04:34:29
98,Auki,SB,-8.7676,160.7034,83.8,77,100,2.66,light rain,2021-01-11 04:39:10
99,Hasaki,JP,35.7333,140.8333,43.0,48,75,5.75,broken clouds,2021-01-11 04:38:21
100,New Norfolk,AU,-42.7826,147.0587,98.01,14,98,5.01,light rain,2021-01-11 04:37:25
101,Stejaru,RO,44.7667,28.55,39.0,93,90,12.66,light rain,2021-01-11 04:39:10
102,Provideniya,RU,64.3833,-173.3,-0.4,71,75,15.66,broken clouds,2021-01-11 04:37:39
103,Vanavara,RU,60.34,102.2797,-15.29,88,99,5.68,overcast clouds,2021-01-11 04:39:11
104,Pleasanton,US,37.6624,-121.8747,51.01,81,40,1.86,scattered clouds,2021-01-11 04:39:11
105,Vaini,TO,-21.2,-175.2,82.4,78,75,8.05,broken clouds,2021-01-11 04:37:07
106,Mpongwe,ZM,-13.5091,28.155,65.53,96,100,3.83,overcast clouds,2021-01-11 04:39:11
107,La Rioja,ES,42.25,-2.5,30.2,80,0,9.22,clear sky,2021-01-11 04:34:28
108,San Quintin,MX,30.4833,-115.95,58.53,53,15,5.66,few clouds,2021-01-11 04:39:12
109,Kutum,SD,14.2,24.6667,50.68,42,0,10.94,clear sky,2021-01-11 04:38:11
110,Salinopolis,BR,-0.6136,-47.3561,79.07,84,53,11.83,light rain,2021-01-11 04:39:12
111,Jumla,NP,29.2747,82.1838,57.69,23,31,3.18,scattered clouds,2021-01-11 04:39:03
112,Juneau,US,58.3019,-134.4197,42.8,81,90,23.02,moderate rain,2021-01-11 04:35:11
113,Husavik,IS,66.0449,-17.3389,21.2,79,90,8.05,light snow,2021-01-11 04:38:06
114,Katsuura,JP,35.1333,140.3,44.01,30,100,5.99,overcast clouds,2021-01-11 04:38:02
115,Baculin,PH,7.4525,126.5842,78.85,82,100,9.73,heavy intensity rain,2021-01-11 04:39:13
116,Torbay,CA,47.6666,-52.7314,33.01,93,90,25.32,light snow,2021-01-11 04:35:16
117,Lagoa,PT,39.05,-27.9833,61.39,91,53,8.5,broken clouds,2021-01-11 04:38:07
118,Hongjiang,CN,27.11,109.9956,46.99,49,56,4.74,broken clouds,2021-01-11 04:39:13
119,Adrar,MR,20.5022,-10.0711,52.99,44,93,12.66,overcast clouds,2021-01-11 04:39:14
120,Dvurechensk,RU,56.5982,61.0953,-4.0,77,40,13.42,light snow,2021-01-11 04:39:14
121,Tautira,PF,-17.7333,-149.15,84.2,61,75,8.05,light rain,2021-01-11 04:39:14
122,Pacific Grove,US,36.6177,-121.9166,54.0,87,75,3.44,broken clouds,2021-01-11 04:36:16
123,Faanui,PF,-16.4833,-151.75,81.46,68,100,15.3,overcast clouds,2021-01-11 04:37:24
124,Tecoanapa,MX,16.5167,-98.75,75.15,80,100,3.83,overcast clouds,2021-01-11 04:39:15
125,Dikson,RU,73.5069,80.5464,17.64,96,100,12.44,overcast clouds,2021-01-11 04:37:21
126,Narsaq,GL,60.9167,-46.05,41.0,36,75,16.11,broken clouds,2021-01-11 04:38:15
127,Mitsamiouli,KM,-11.3847,43.2844,81.97,79,75,17.13,moderate rain,2021-01-11 04:39:15
128,Ponta Do Sol,PT,32.6667,-17.1,52.0,67,23,5.01,few clouds,2021-01-11 04:37:49
129,Cabo San Lucas,MX,22.8909,-109.9124,62.01,78,0,3.0,clear sky,2021-01-11 04:33:40
130,Pokhara,NP,28.2333,83.9833,71.96,22,85,5.61,overcast clouds,2021-01-11 04:39:16
131,Warwick,US,41.7001,-71.4162,30.99,69,1,3.44,clear sky,2021-01-11 04:39:16
132,Korla,CN,41.7597,86.1469,18.54,81,0,7.72,clear sky,2021-01-11 04:37:55
133,Saint-Georges,GD,12.0564,-61.7485,78.8,73,20,12.66,light rain,2021-01-11 04:39:16
134,Auchel,FR,50.5034,2.4735,37.99,98,59,9.01,broken clouds,2021-01-11 04:39:17
135,Thompson,CA,55.7435,-97.8558,8.6,92,1,4.61,clear sky,2021-01-11 04:37:22
136,Zyryanovsk,KZ,49.7386,84.2719,7.3,92,96,0.38,overcast clouds,2021-01-11 04:39:17
137,Aquiraz,BR,-3.9014,-38.3911,78.8,83,0,4.61,clear sky,2021-01-11 04:39:17
138,Kidal,ML,18.4411,1.4078,65.07,25,1,3.18,clear sky,2021-01-11 04:39:18
139,Tura,IN,25.5198,90.2201,76.33,43,1,3.4,clear sky,2021-01-11 04:39:18
140,Marrakesh,MA,31.6315,-8.0083,44.6,93,75,8.05,light rain,2021-01-11 04:35:27
141,Norman Wells,CA,65.282,-126.8329,3.2,85,20,3.44,few clouds,2021-01-11 04:37:40
142,Mangan,IN,27.5167,88.5333,66.29,40,56,5.46,broken clouds,2021-01-11 04:39:18
143,Vila Franca Do Campo,PT,37.7167,-25.4333,55.4,94,75,10.36,light rain,2021-01-11 04:39:19
144,Preobrazheniye,RU,42.9019,133.9064,16.63,74,0,4.92,clear sky,2021-01-11 04:39:19
145,Xiongzhou,CN,25.1167,114.3,52.02,37,85,10.45,overcast clouds,2021-01-11 04:39:19
146,Port Lincoln,AU,-34.7333,135.8667,71.71,66,70,20.8,broken clouds,2021-01-11 04:37:29
147,Linao,PH,7.1678,124.9675,78.33,87,95,4.88,overcast clouds,2021-01-11 04:39:20
148,Ramhormoz,IR,31.28,49.6035,42.8,87,13,4.61,few clouds,2021-01-11 04:39:20
149,Nabire,ID,-3.3667,135.4833,86.65,64,100,5.77,overcast clouds,2021-01-11 04:36:01
150,Kaitangata,NZ,-46.2817,169.8464,60.01,56,58,8.99,broken clouds,2021-01-11 04:38:09
151,Bathsheba,BB,13.2167,-59.5167,78.8,65,20,25.32,few clouds,2021-01-11 04:37:18
152,Santa Fe,AR,-31.6333,-60.7,80.01,73,31,1.99,scattered clouds,2021-01-11 04:35:00
153,Kodiak,US,57.79,-152.4072,35.6,87,90,13.8,moderate rain,2021-01-11 04:37:32
154,Lincoln,US,40.8,-96.667,30.0,74,1,1.9,clear sky,2021-01-11 04:35:27
155,La Carlota,PH,10.4233,122.9208,83.59,73,26,17.67,scattered clouds,2021-01-11 04:39:21
156,Aklavik,CA,68.2191,-135.0107,-0.4,85,100,2.3,overcast clouds,2021-01-11 04:37:32
157,Temba,ZA,-25.3803,28.2631,68.0,88,84,5.75,broken clouds,2021-01-11 04:39:21
158,Alta Floresta,BR,-9.8756,-56.0861,71.53,94,98,2.95,light rain,2021-01-11 04:37:30
159,Dingle,PH,10.9995,122.6711,76.57,88,100,12.59,heavy intensity rain,2021-01-11 04:37:23
160,Umm Lajj,SA,25.0213,37.2685,73.89,38,0,16.31,clear sky,2021-01-11 04:39:22
161,Sitka,US,57.0531,-135.33,42.8,87,90,9.22,moderate rain,2021-01-11 04:39:22
162,Vanimo,PG,-2.6741,141.3028,85.19,68,100,5.48,light rain,2021-01-11 04:39:23
163,Sagaing,MM,21.8787,95.9797,75.2,64,75,3.44,broken clouds,2021-01-11 04:36:39
164,Grindavik,IS,63.8424,-22.4338,21.2,73,0,11.5,clear sky,2021-01-11 04:37:11
165,Lasem,ID,-6.6922,111.4527,85.03,73,100,7.31,overcast clouds,2021-01-11 04:39:24
166,Tuatapere,NZ,-46.1333,167.6833,57.99,69,91,8.99,overcast clouds,2021-01-11 04:39:24
167,Sept-Iles,CA,50.2001,-66.3821,15.8,73,61,8.05,broken clouds,2021-01-11 04:39:24
168,Yuanping,CN,38.7153,112.7575,21.31,68,0,8.25,clear sky,2021-01-11 04:39:24
169,Lugovoy,KZ,42.9472,72.7644,35.38,70,0,2.62,clear sky,2021-01-11 04:39:24
170,Xiaoweizhai,CN,26.1903,107.5125,43.07,57,90,11.41,overcast clouds,2021-01-11 04:39:24
171,Mogadishu,SO,2.0371,45.3438,76.71,74,52,22.88,broken clouds,2021-01-11 04:39:25
172,Qaanaaq,GL,77.484,-69.3632,-0.58,74,0,5.86,clear sky,2021-01-11 04:37:08
173,Smidovich,RU,48.6,133.8167,-0.04,75,0,11.25,clear sky,2021-01-11 04:39:25
174,Senador Jose Porfirio,BR,-2.5908,-51.9542,73.96,94,100,3.91,overcast clouds,2021-01-11 04:39:25
175,Tessalit,ML,20.1986,1.0114,59.68,45,0,10.65,clear sky,2021-01-11 04:35:24
176,Qui Nhon,VN,13.7667,109.2333,72.46,86,83,23.96,light rain,2021-01-11 04:39:26
177,Acurenam,GQ,1.0322,10.6488,67.12,99,64,2.73,broken clouds,2021-01-11 04:39:26
178,Evensk,RU,61.95,159.2333,7.36,89,100,17.56,overcast clouds,2021-01-11 04:39:26
179,Maicao,CO,11.3832,-72.2432,77.56,80,36,14.45,scattered clouds,2021-01-11 04:39:27
180,Pacasmayo,PE,-7.4006,-79.5714,70.23,81,41,11.9,scattered clouds,2021-01-11 04:39:27
181,Porto Empedocle,IT,37.2934,13.5264,48.99,1,1,5.5,clear sky,2021-01-11 04:39:27
182,Tripoli,LY,32.8752,13.1875,64.11,68,0,3.22,clear sky,2021-01-11 04:39:27
183,Longyearbyen,SJ,78.2186,15.6401,24.8,80,40,11.5,scattered clouds,2021-01-11 04:37:27
184,Karwar,IN,14.8,74.1333,83.52,58,32,5.91,scattered clouds,2021-01-11 04:39:28
185,Padang,ID,-0.9492,100.3543,87.85,56,98,3.71,overcast clouds,2021-01-11 04:37:14
186,Nur,PL,52.6683,22.3221,33.01,81,100,5.01,overcast clouds,2021-01-11 04:39:28
187,Nganjuk,ID,-7.6051,111.9035,87.28,68,85,4.83,overcast clouds,2021-01-11 04:39:28
188,Narasannapeta,IN,18.4167,84.05,83.43,45,5,1.28,clear sky,2021-01-11 04:39:29
189,Baoning,CN,25.3378,110.026,50.0,25,40,8.95,scattered clouds,2021-01-11 04:39:29
190,Rawson,AR,-43.3002,-65.1023,60.39,32,90,14.47,overcast clouds,2021-01-11 04:38:21
191,Broken Hill,AU,-31.95,141.4333,95.0,14,50,9.22,scattered clouds,2021-01-11 04:37:38
192,Whitehorse,CA,60.7161,-135.0538,30.2,86,90,11.5,light snow,2021-01-11 04:39:29
193,Takoradi,GH,4.8845,-1.7554,77.77,89,0,7.43,clear sky,2021-01-11 04:39:29
194,Arraial Do Cabo,BR,-22.9661,-42.0278,76.37,90,48,17.94,scattered clouds,2021-01-11 04:37:21
195,Xai-Xai,MZ,-25.0519,33.6442,78.55,69,21,8.39,few clouds,2021-01-11 04:39:30
196,Juba,SS,4.8517,31.5825,75.88,27,0,1.57,clear sky,2021-01-11 04:39:30
197,Mushie,CD,-3.0167,16.9,71.13,94,97,3.42,overcast clouds,2021-01-11 04:39:30
198,Coihaique,CL,-45.5752,-72.0662,37.99,83,60,7.25,broken clouds,2021-01-11 04:39:30
199,Seoul,KR,37.5683,126.9778,24.8,58,0,1.14,clear sky,2021-01-11 04:38:39
200,Dudinka,RU,69.4058,86.1778,-0.33,93,100,10.8,light snow,2021-01-11 04:39:31
201,Sao Domingos,BR,-13.3983,-46.3183,71.47,85,67,1.7,light rain,2021-01-11 04:39:31
202,Cockburn Town,TC,21.4612,-71.1419,77.92,80,98,16.06,overcast clouds,2021-01-11 04:39:31
203,Barra Do Garcas,BR,-15.89,-52.2567,73.22,89,83,2.06,light rain,2021-01-11 04:38:26
204,Guatire,VE,10.4762,-66.5427,68.0,84,73,2.39,broken clouds,2021-01-11 04:39:32
205,Taoudenni,ML,22.6783,-3.9836,55.9,41,68,10.54,broken clouds,2021-01-11 04:37:25
206,Russell,US,32.3502,-85.1999,42.8,87,90,2.95,overcast clouds,2021-01-11 04:39:32
207,Pemangkat,ID,1.1667,108.9667,76.6,90,100,12.28,overcast clouds,2021-01-11 04:35:04
208,Bendigo,AU,-36.7667,144.2833,96.01,37,100,5.01,overcast clouds,2021-01-11 04:39:32
209,Victoria,HK,22.2855,114.1577,50.0,56,100,3.0,overcast clouds,2021-01-11 04:36:16
210,Champerico,GT,14.3,-91.9167,66.0,95,0,4.23,clear sky,2021-01-11 04:39:33
211,Tiarei,PF,-17.5333,-149.3333,84.2,61,75,8.05,light rain,2021-01-11 04:39:33
212,Mahebourg,MU,-20.4081,57.7,78.8,94,75,13.8,light rain,2021-01-11 04:38:19
213,Tocopilla,CL,-22.092,-70.1979,68.0,69,57,5.77,broken clouds,2021-01-11 04:39:33
214,Sobolevo,RU,54.4299,31.8996,6.87,95,97,3.51,snow,2021-01-11 04:39:33
215,Eyl,SO,7.9803,49.8164,72.93,62,59,21.94,broken clouds,2021-01-11 04:39:34
216,Poum,NC,-20.2333,164.0167,84.61,75,80,8.16,broken clouds,2021-01-11 04:37:35
217,Esperance,AU,-33.8667,121.9,71.6,46,40,12.66,scattered clouds,2021-01-11 04:38:02
218,Staryy Nadym,RU,65.6118,72.6842,-23.03,82,8,6.13,clear sky,2021-01-11 04:39:34
219,Deputatskiy,RU,69.3,139.9,-35.52,82,56,4.38,broken clouds,2021-01-11 04:39:34
220,Zorritos,PE,-3.6805,-80.6782,77.81,68,83,6.31,broken clouds,2021-01-11 04:39:34
221,Havre-Saint-Pierre,CA,50.2334,-63.5986,5.0,85,1,5.75,clear sky,2021-01-11 04:39:35
222,Lorengau,PG,-2.0226,147.2712,84.65,67,18,3.6,light rain,2021-01-11 04:37:33
223,Kardla,EE,58.9978,22.7492,32.0,93,75,4.61,broken clouds,2021-01-11 04:39:35
224,Chizhou,CN,30.6578,117.4831,43.05,51,62,9.37,broken clouds,2021-01-11 04:39:35
225,Nagua,DO,19.3832,-69.8474,71.01,96,68,5.5,broken clouds,2021-01-11 04:39:35
226,Iqaluit,CA,63.7506,-68.5145,1.4,78,75,10.36,light snow,2021-01-11 04:37:24
227,San Cristobal,VE,7.7669,-72.225,64.47,90,55,2.95,broken clouds,2021-01-11 04:39:36
228,Koppal,IN,15.35,76.15,81.19,52,0,12.01,clear sky,2021-01-11 04:39:36
229,Kontagora,NG,10.3999,5.4695,67.1,25,16,5.39,few clouds,2021-01-11 04:39:36
230,Tual,ID,-5.6667,132.75,84.61,71,3,7.85,clear sky,2021-01-11 04:39:23
